sample_id,material,E_eff_MPa,sigma_y_MPa,source,measured_porosity,relative_density,porosity_pct,mat_key,E_s,E_norm
T20_01TS65_01_20211129,T20,107.0039679988314,5.3885922418319545,Experimental,65.18078639446219,0.34819213605537813,,HTB,1291.4,0.0828588880275913
HTB_01TS65_01_20220609,HTB,87.84452812617634,4.00531494290563,Experimental,67.92976243175444,0.32070237568245563,,HTB,1291.4,0.06802271033465722
HIG_01TS60_02_20220609,HIG,160.46120798282334,8.136497488798817,Experimental,42.72187010776223,0.5727812989223777,,HIG,,
M13_01TS65_02_20220221,M13,204.52247777761596,9.083844794138285,Experimental,50.24343186168849,0.4975656813831151,,M13,,
HIC_01TS80_02_20220608,HIC,29.396672697693095,2.012873005939451,Experimental,73.99074074074075,0.26009259259259254,,HIC,873.9,0.03363848575087893
T15_01TS65_02_20220303,T15,91.99718327722333,4.544585664905485,Experimental,61.5019879251951,0.384980120748049,,T15,,
DFT_01TS65_03_20220303,DFT,145.36371671198037,5.559584290642764,Experimental,57.119636358405614,0.4288036364159439,,DFT,,
DUR_02TS55_03_20220215,DUR,101.03570192251297,5.7710105196707895,Experimental,50.99898692138354,0.4900101307861646,,DUR,,
T15_01TS70_02_20220303,T15,72.02267492361565,3.817658986445106,Experimental,64.04211456339272,0.35957885436607284,,T15,,
T15_01TS75_03_20220303,T15,49.76943481217595,3.313353166468402,Experimental,69.86010896775144,0.30139891032248556,,T15,,
ERB_01TS65_01_20220221,ERB,81.00203279802379,4.489720728468533,Experimental,60.42799115942896,0.3957200884057104,,ERB,,
ERB_01TS80_02_20220221,ERB,20.392659919003645,2.025831814231395,Experimental,75.18069410429484,0.24819305895705157,,ERB,,
HTB_01TS75_02_20220609,HTB,27.687391878475992,1.0854494804616024,Experimental,87.13294968275048,0.12867050317249518,,HTB,1291.4,0.02143982645073253
HEB_01TS60_02_20220607,HEB,55.34970919150071,4.791571781324363,Experimental,58.429676974653,0.41570323025347,,HEB,,
DUR_02TS65_02_20220215,DUR,65.7345728731936,4.703236017232036,Experimental,62.65319957648744,0.3734680042351256,,DUR,,
HIC_01TS55_03_20220609,HIC,145.10314493723584,6.564785220823965,Experimental,30.916666666666693,0.6908333333333331,,HIC,873.9,0.1660409027774755
RGD_02TS65_02_20220211,RGD,360.35490782447886,4.290735495070049,Experimental,60.29946278114562,0.3970053721885438,,RGD,,
HTC_01TS65_02_20220607,HTC,230.12199659165933,8.233567799989743,Experimental,48.379299926626075,0.5162070007337393,,HTC,,
HTC_01TS70_01_20220607,HTC,137.24540578672455,4.961115897489794,Experimental,59.18252837843669,0.40817471621563306,,HTC,,
HEB_01TS85_02_20220609,HEB,11.566612848140828,1.3204614151675442,Experimental,87.59125231068082,0.12408747689319188,,HEB,,
HIG_01TS65_01_20220609,HIG,110.56614598175422,5.27580568222549,Experimental,45.6674722234888,0.543325277765112,,HIG,,
HIG_01TS80_02_20220609,HIG,53.091260657644376,2.8903339506086256,Experimental,68.36137583025548,0.3163862416974452,,HIG,,
RGD_01TS60_01_20211122,RGD,318.7942721538873,6.229430960156695,Experimental,52.87549426050961,0.47124505739490385,,RGD,,
EGS_01TS75_01_20220301,EGS,9.479251127126714,2.182803525300595,Experimental,66.12812008009415,0.33871879919905856,,EGS,,
T15_01TS85_02_20220303,T15,32.156394256800915,1.0596369644676034,Experimental,81.99087026947429,0.1800912973052572,,T15,,
T20_02TS55_03_20220215,T20,179.51826778621603,8.69263584359696,Experimental,49.1577356899399,0.508422643100601,,HTB,1291.4,0.13901058369693048
HEB_01TS60_01_20220607,HEB,75.3348561476646,5.806169972464964,Experimental,57.43804242253346,0.42561957577466547,,HEB,,
HTB_01TS70_02_20220609,HTB,54.926331956679704,2.547664473016946,Experimental,77.20820422015639,0.22791795779843615,,HTB,1291.4,0.04253239271850681
DUR_02TS55_02_20220215,DUR,98.14102513833595,6.316590784914592,Experimental,51.71652079858017,0.4828347920141983,,DUR,,
GPR_01TS70_01_20220110,GPR,157.75019200320546,5.846715864220599,Experimental,65.96923351848818,0.3403076648151182,,GPR,1916.9,0.08229442954937943
M13_01TS65_03_20220221,M13,194.8459383692577,8.956169299103676,Experimental,50.87650543388149,0.4912349456611851,,M13,,
HTC_01TS75_02_20220607,HTC,96.38664071253581,3.5075987545228413,Experimental,68.49669817428459,0.31503301825715413,,HTC,,
T15_01TS60_03_20220303,T15,128.32868636705908,5.969424782983985,Experimental,54.760712707995886,0.45239287292004116,,T15,,
M13_01TS85_03_20220221,M13,55.76065077768543,2.756266612766808,Experimental,72.53666551105619,0.27463334488943814,,M13,,
GPR_01TS60_01_20220110,GPR,234.72397515399524,9.130865098099164,Experimental,54.75123229735968,0.45248767702640325,,GPR,1916.9,0.12244977575981805
WHT_01TS55_02_20220303,WHT,333.9541249305494,9.344329118282202,Experimental,48.70130808701308,0.5129869191298692,,HEC,1001.5,0.33345394401452766
WHT_01TS80_01_20220303,WHT,108.89256916780624,2.869644380056098,Experimental,73.4306569343066,0.26569343065693407,,HEC,1001.5,0.10872947495537319
HEC_01TS55_03_20220609,HEC,169.0397228622834,7.111356318843364,Experimental,32.597911020239955,0.6740208897976004,,HEC,1001.5,0.16878654304771185
T20_02TS65_03_20220215,T20,136.945680293193,6.582782111565028,Experimental,60.63108331283599,0.39368916687164013,,HTB,1291.4,0.10604435519064037
HTC_01TS65_03_20220609,HTC,215.52726304483588,7.919018868932928,Experimental,51.832189563641066,0.4816781043635894,,HTC,,
F80_01TS60_01_20220211,F80,1.1769411911646925,0.6711985410296571,Experimental,41.290583322106976,0.5870941667789302,,F80,,
ERB_01TS55_02_20220221,ERB,132.43953098957658,7.026511135574871,Experimental,50.78251000537604,0.49217489994623964,,ERB,,
BMC_02TS60_02_20220221,BMC,244.17830765722633,10.373182673130486,Experimental,50.56226873265495,0.49437731267345053,,BMC,,
HIC_01TS85_02_20220608,HIC,7.94722487899365,1.0182947232487423,Experimental,86.79629629629632,0.13203703703703684,,HIC,873.9,0.009093975144746138
ERB_01TS60_01_20220221,ERB,109.88724167233009,5.65757419826595,Experimental,56.52589451048324,0.43474105489516757,,ERB,,
HEB_01TS65_03_20220607,HEB,35.03820841260183,4.149294386188281,Experimental,69.58204091863271,0.30417959081367285,,HEB,,
BMA_01TS60_01_20211122,BMA,301.06006387014,12.989474458416083,Experimental,56.77377790274546,0.4322622209725454,,GPR,1916.9,0.1570556961083729
HEB_01TS80_03_20220607,HEB,12.560033134265787,1.4878340371168497,Experimental,78.57724723501582,0.21422752764984176,,HEB,,
HIG_01TS70_02_20220609,HIG,80.488958828032,3.4550322694972473,Experimental,57.345006307661905,0.42654993692338095,,HIG,,
DUR_02TS85_03_20220215,DUR,25.806545268122466,1.421015156564516,Experimental,86.88482134015828,0.1311517865984172,,DUR,,
GPR_02TS85_02_20220211,GPR,89.57744118424942,3.6228551105331808,Experimental,77.49102768387665,0.22508972316123343,,GPR,1916.9,0.046730367355756385
DFT_01TS75_02_20220303,DFT,110.76643674883582,4.269214564010555,Experimental,66.22506077475224,0.3377493922524777,,DFT,,
HIC_01TS70_02_20220608,HIC,89.38852010438,4.32426568634488,Experimental,51.574074074074105,0.48425925925925895,,HIC,873.9,0.10228689793383683
HEB_01TS65_02_20220607,HEB,32.27557740037877,3.259263195099945,Experimental,68.54340946830844,0.31456590531691564,,HEB,,
M13_01TS60_03_20220221,M13,236.46553321460772,10.963108101774957,Experimental,45.680780187811806,0.5431921981218819,,M13,,
RGD_02TS60_02_20220211,RGD,413.57909795493543,5.615394727636821,Experimental,55.18278855551366,0.4481721144448634,,RGD,,
DUR_02TS75_02_20220215,DUR,50.3475811296561,2.8718108823314994,Experimental,72.08168612844008,0.2791831387155992,,DUR,,
DUR_02TS70_02_20220215,DUR,59.631579110014414,3.962863209130921,Experimental,66.79844305812634,0.33201556941873667,,DUR,,
HIC_01TS75_01_20220608,HIC,53.337228907444455,3.26457812788342,Experimental,59.296296296296305,0.407037037037037,,HIC,873.9,0.06103356094226394
EGS_01TS55_02_20220301,EGS,52.38397104544849,5.188318817891339,Experimental,46.30023080567997,0.5369976919432002,,EGS,,
WHT_01TS65_03_20220303,WHT,250.0702397085034,6.59150478593974,Experimental,60.89036640890369,0.39109633591096316,,HEC,1001.5,0.24969569616425702
WHT_01TS70_03_20220303,WHT,207.4043662220859,6.15113682212947,Experimental,62.689889426898915,0.37310110573101085,,HEC,1001.5,0.20709372563363546
HIC_01TS65_02_20220608,HIC,102.54916747159314,5.159454607105505,Experimental,39.55092592592594,0.6044907407407406,,HIC,873.9,0.11734656994117536
T15_01TS80_03_20220303,T15,44.42639567027801,2.3692158139335717,Experimental,76.55279045795905,0.23447209542040948,,T15,,
HIC_01TS85_01_20220608,HIC,13.73854803435541,1.5908362579816198,Experimental,84.74074074074079,0.15259259259259206,,HIC,873.9,0.015720961247688993
HEB_01TS70_02_20220607,HEB,30.90912011533837,3.0256692413950192,Experimental,70.71936585518688,0.2928063414481312,,HEB,,
BMC_01TS85_01_20220211,BMC,69.62821812976637,2.602186719468872,Experimental,78.23149872255661,0.21768501277443386,,BMC,,
BMC_01TS60_01_20220211,BMC,242.5936167858385,10.26534703938642,Experimental,52.1759840644351,0.478240159355649,,BMC,,
BMA_02TS55_02_20220216,BMA,284.26519036808315,15.77035133896565,Experimental,48.7069942153927,0.512930057846073,,GPR,1916.9,0.14829422002612716
M12_01TS80_03_20220609,M12,12.637720832466803,1.5770357005492954,Experimental,84.5162195445122,0.15483780455487806,,M12,,
